HMP_BODY_SUBSITE,Strongest_Topic,Count
Attached Keratinized Gingiva,0,8
Attached Keratinized Gingiva,1,170
Attached Keratinized Gingiva,2,2
Attached Keratinized Gingiva,3,1
Buccal Mucosa,0,14
Buccal Mucosa,1,149
Buccal Mucosa,2,5
Buccal Mucosa,3,15
Hard Palate,0,1
Hard Palate,1,60
Hard Palate,2,42
Hard Palate,3,75
Palatine Tonsils,0,15
Palatine Tonsils,1,12
Palatine Tonsils,2,87
Palatine Tonsils,3,72
Saliva,0,7
Saliva,1,1
Saliva,2,98
Saliva,3,56
Subgingival Plaque,0,180
Subgingival Plaque,1,1
Subgingival Plaque,2,2
Supragingival Plaque,0,189
Throat,0,4
Throat,1,13
Throat,2,91
Throat,3,62
Tongue Dorsum,2,92
Tongue Dorsum,3,98
